ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Name=\"Title\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" Group=\"_Hidden\" Type=\"Text\" DisplayName=\"Title\" Required=\"FALSE\" FromBaseType=\"TRUE\" DelayActivateTemplateBinding=\"GROUP,SPSPERS,SITEPAGEPUBLISHING\" Sealed=\"FALSE\" />","<Field Type=\"Text\" Name=\"OpportunityName\" DisplayName=\"Opportunity Name\" ID=\"{0cce085a-5781-4251-9ac0-10126f83097c}\" Group=\"\" Required=\"TRUE\" StaticName=\"OpportunityName\" />","<Field Type=\"Choice\" Name=\"Status\" DisplayName=\"Status\" ID=\"{004034df-df0a-42ac-9c00-3c236f5005dc}\" Group=\"\" Required=\"TRUE\" StaticName=\"Status\"><CHOICES><CHOICE>Active</CHOICE><CHOICE>At Risk</CHOICE><CHOICE>Critical</CHOICE></CHOICES></Field>","<Field Type=\"Text\" Name=\"OpportunityOwner\" DisplayName=\"Opportunity Owner\" ID=\"{21e20f56-9ecd-4e70-9cff-16f79a173285}\" Group=\"\" Required=\"FALSE\" StaticName=\"OpportunityOwner\" />","<Field Type=\"Choice\" Name=\"OpportunityStage\" DisplayName=\"Stage\" ID=\"{4bf96c2c-7ded-448d-9f7d-d86fa8769790}\" Group=\"\" Required=\"TRUE\" StaticName=\"OpportunityStage\"><CHOICES><CHOICE>Lead Qualification</CHOICE><CHOICE>Nurturing</CHOICE><CHOICE>Proposal</CHOICE><CHOICE>Negotiation</CHOICE><CHOICE>Project Execution</CHOICE><CHOICE>Closeout</CHOICE></CHOICES></Field>","<Field Type=\"Currency\" Name=\"Amount\" DisplayName=\"Opportunity Value\" ID=\"{ec27667e-0e4f-429c-ac35-cd23caefb49b}\" Group=\"\" Required=\"TRUE\" StaticName=\"Amount\" />","<Field Type=\"Choice\" Name=\"Probability\" DisplayName=\"Win Probability\" ID=\"{b75f9637-6eda-4bf6-a39b-724fbdcaaf93}\" Group=\"\" Required=\"TRUE\" StaticName=\"Probability\"><CHOICES><CHOICE>Low</CHOICE><CHOICE>Medium</CHOICE><CHOICE>High</CHOICE></CHOICES></Field>","<Field Type=\"DateTime\" Name=\"Close\" DisplayName=\"Expected Close Date\" ID=\"{35830093-1cbc-43ef-b971-b02932946fcf}\" Group=\"\" Required=\"TRUE\" StaticName=\"Close\" />","<Field Type=\"DateTime\" Name=\"NextMilestoneDate\" DisplayName=\"Next Deadline or Milestone\" ID=\"{e76d083d-3f08-47f8-b0c2-af3f6e249650}\" Group=\"\" Required=\"FALSE\" StaticName=\"NextMilestoneDate\" />","<Field Type=\"Text\" Name=\"NextMilestone\" DisplayName=\"Next Milestone\" ID=\"{663db9ae-4208-400c-9210-b6a4914ba215}\" Group=\"\" Required=\"FALSE\" StaticName=\"NextMilestone\" />","<Field Type=\"Choice\" Name=\"RecurringRevenueModel\" DisplayName=\"Recurring Revenue Model\" ID=\"{95a14b06-aaaf-4a89-8c94-7cbc4513f18b}\" Group=\"\" Required=\"FALSE\" StaticName=\"RecurringRevenueModel\"><CHOICES><CHOICE>Up Front</CHOICE><CHOICE>Annually</CHOICE><CHOICE>Quarterly</CHOICE><CHOICE>Monthly</CHOICE></CHOICES></Field>","<Field Type=\"Number\" Name=\"Recurrences\" DisplayName=\"Recurrences\" ID=\"{b5fb8826-604e-41e8-ac41-7d3912e5b3cc}\" Group=\"\" Required=\"FALSE\" StaticName=\"Recurrences\" />","<Field Type=\"DateTime\" Name=\"StartDate\" DisplayName=\"Start Date\" ID=\"{0d48b720-f355-4645-af4a-63732739437c}\" Group=\"\" Required=\"FALSE\" StaticName=\"StartDate\" />","<Field Type=\"Note\" DisplayName=\"Comment Log\" Name=\"CommentLog\" StaticName=\"CommentLog\" AppendOnly=\"TRUE\" RichText=\"FALSE\" NumLines=\"6\" UnlimitedLengthInDocumentLibrary=\"FALSE\" Required=\"FALSE\" ID=\"{52851f29-2de8-4c36-a6ca-430a4d2fbeb9}\" />","<Field ID=\"{c042a256-787d-4a6f-8a8a-cf6ab767f12d}\" Type=\"Computed\" DisplayName=\"Content Type\" Name=\"ContentType\" DisplaceOnUpgrade=\"TRUE\" RenderXMLUsingPattern=\"TRUE\" Sortable=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"ContentType\" Group=\"_Hidden\" PITarget=\"MicrosoftWindowsSharePointServices\" PIAttribute=\"ContentTypeID\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"ContentTypeId\" /></FieldRefs><DisplayPattern><MapToContentType><Column Name=\"ContentTypeId\" /></MapToContentType></DisplayPattern></Field>"]}
"Opportunity Name","Status","Opportunity Owner","Stage","Opportunity Value","Win Probability","Expected Close Date","Next Deadline or Milestone","Next Milestone","Recurring Revenue Model","Recurrences","Start Date","CustomerId","Comment Log"
"Cybersecurity Enhancement","Active","Sarah Director","Nurturing","$1,217,080.00","High","2026-03-16T15:09:39Z","2025-09-29T15:09:39Z","Technical Review",,,"2026-05-01T15:09:39Z","Consulting Experts","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=12"">View Entries</a>"
"E-commerce Platform","Active","Robert Analyst","Project Execution","$1,688,010.00","High","2026-11-19T16:09:41Z","2025-08-29T15:09:41Z","Technical Review",,,"2026-12-16T16:09:41Z","Automotive Parts Plus","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=13"">View Entries</a>"
"Document Management System","At Risk","Lisa Engineer","Lead Qualification","$1,410,113.00","Low","2026-09-18T15:09:43Z","2025-09-19T15:09:43Z","Contract Finalization",,,"2026-11-05T16:09:43Z","Agricultural Systems","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=14"">View Entries</a>"
"Training & Development Program","At Risk","Robert Analyst","Proposal","$1,308,796.00","Medium","2026-02-16T16:09:45Z","2025-10-07T15:09:45Z","ROI Presentation",,,"2026-03-22T15:09:45Z","Sports & Recreation","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=15"">View Entries</a>"
"Quality Management System","Active","David Specialist","Proposal","$1,818,946.00","Low","2026-11-11T16:09:47Z","2025-08-17T15:09:47Z","Requirements Analysis",,,"2027-02-09T16:09:47Z","Mining Operations","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=16"">View Entries</a>"
"Supply Chain Optimization","Active","David Specialist","Proposal","$692,696.00","Low","2026-04-15T15:09:49Z","2025-09-20T15:09:49Z","Implementation Planning",,,"2026-06-18T15:09:49Z","Education First","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=17"">View Entries</a>"
"Financial Planning Software","At Risk","Mike Consultant","Proposal","$779,439.00","Medium","2026-11-03T16:09:51Z","2025-09-04T15:09:51Z","Budget Approval",,,"2026-12-18T16:09:51Z","Education First","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=18"">View Entries</a>"
"HR Management System","Active","Lisa Engineer","Closeout","$1,248,747.00","High","2026-06-24T15:09:53Z","2025-08-19T15:09:53Z","Budget Approval",,,"2026-07-24T15:09:53Z","Hotel Management Group","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=19"">View Entries</a>"
"Marketing Automation Platform","Active","Jennifer PM","Closeout","$1,164,859.00","Medium","2026-05-13T15:09:54Z","2025-08-31T15:09:54Z","Technical Review",,,"2026-06-20T15:09:54Z","Environmental Services","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=20"">View Entries</a>"
"CRM System Upgrade","Active","David Specialist","Lead Qualification","$1,278,194.00","High","2026-09-21T15:09:56Z","2025-09-19T15:09:56Z","Budget Approval",,,"2026-10-13T15:09:56Z","Transport Logistics","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=21"">View Entries</a>"
"Inventory Management Solution","Active","Amanda Sales","Nurturing","$843,113.00","Low","2026-11-13T16:09:59Z","2025-08-26T15:09:59Z","Proof of Concept",,,"2026-12-18T16:09:59Z","Media Communications","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=22"">View Entries</a>"
"Point of Sale System","Active","David Specialist","Negotiation","$1,236,222.00","Medium","2026-01-28T16:10:01Z","2025-09-11T15:10:01Z","Contract Finalization",,,"2026-03-30T15:10:01Z","Food Service Partners","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=23"">View Entries</a>"
"Compliance Management Tool","Active","Sarah Director","Negotiation","$1,708,928.00","Low","2025-11-27T16:10:03Z","2025-10-08T15:10:03Z","Proposal Review",,,"2026-02-17T16:10:03Z","ACME Corporation","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=24"">View Entries</a>"
"Project Management Software","Active","Amanda Sales","Closeout","$1,218,810.00","Medium","2025-09-25T15:10:05Z","2025-10-03T15:10:05Z","Proof of Concept",,,"2025-11-09T16:10:05Z","ACME Corporation","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=25"">View Entries</a>"
"Video Conferencing Solution","Active","Amanda Sales","Negotiation","$2,183,247.00","Low","2026-03-19T15:10:07Z","2025-09-11T15:10:07Z","ROI Presentation",,,"2026-06-17T15:10:07Z","Pharmaceutical Research","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=26"">View Entries</a>"
"Backup & Recovery System","At Risk","Mike Consultant","Nurturing","$993,719.00","Medium","2026-04-06T15:10:09Z","2025-10-02T15:10:09Z","Contract Finalization",,,"2026-05-11T15:10:09Z","Construction Dynamics","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=27"">View Entries</a>"
"Website Redesign Project","Active","Amanda Sales","Nurturing","$1,001,054.00","High","2026-04-01T15:10:11Z","2025-08-18T15:10:11Z","Proposal Review",,,"2026-05-07T15:10:11Z","Tech Solutions Inc","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=28"">View Entries</a>"
"Social Media Management Tool","Active","Robert Analyst","Lead Qualification","$1,091,632.00","High","2026-01-16T16:10:13Z","2025-10-07T15:10:13Z","Technical Review",,,"2026-03-09T15:10:13Z","Waste Management Co","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=29"">View Entries</a>"
"Customer Service Platform","Critical","Dr. Tech Advisor","Nurturing","$1,555,472.00","Medium","2026-10-12T15:10:15Z","2025-08-18T15:10:15Z","Contract Finalization",,,"2026-10-28T15:10:15Z","ACME Corporation","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=30"">View Entries</a>"
"Fleet Management System","At Risk","Mike Consultant","Closeout","$1,181,189.00","Medium","2026-08-21T15:10:17Z","2025-10-08T15:10:17Z","Stakeholder Meeting",,,"2026-10-28T15:10:17Z","Professional Services Group","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=31"">View Entries</a>"
"Environmental Monitoring Solution","Active","Lisa Engineer","Project Execution","$1,850,071.00","Medium","2026-07-08T15:10:19Z","2025-08-22T15:10:19Z","Requirements Analysis",,,"2026-09-28T15:10:19Z","Media Communications","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=32"">View Entries</a>"
"Safety Management System","Active","Mike Consultant","Proposal","$927,080.00","Medium","2026-06-08T15:10:20Z","2025-09-29T15:10:20Z","Budget Approval",,,"2026-07-09T15:10:20Z","Insurance Specialists","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=33"">View Entries</a>"
"Performance Analytics Dashboard","Active","Dr. Tech Advisor","Negotiation","$1,225,158.00","Low","2026-02-24T16:10:22Z","2025-09-30T15:10:22Z","Contract Finalization",,,"2026-04-24T15:10:22Z","Global Industries","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=34"">View Entries</a>"
"Workflow Automation Tool","Active","Robert Analyst","Project Execution","$1,362,832.00","Medium","2026-01-13T16:10:24Z","2025-09-04T15:10:24Z","Implementation Planning",,,"2026-03-28T15:10:24Z","Global Industries","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=35"">View Entries</a>"
"Integration Services Project","Active","Amanda Sales","Project Execution","$1,259,133.00","Medium","2025-08-27T15:10:26Z","2025-09-25T15:10:26Z","Stakeholder Meeting",,,"2025-10-10T15:10:26Z","Chemical Processing","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=36"">View Entries</a>"
"Database Migration Project","Active","Sarah Director","Lead Qualification","$630,289.00","Medium","2026-01-02T16:10:28Z","2025-09-12T15:10:28Z","Technical Review",,,"2026-02-03T16:10:28Z","Construction Dynamics","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=37"">View Entries</a>"
"Legacy System Modernization","Active","Robert Analyst","Nurturing","$1,778,409.00","Low","2026-03-18T15:10:30Z","2025-08-26T15:10:30Z","Technical Review",,,"2026-04-29T15:10:30Z","Professional Services Group","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=38"">View Entries</a>"
"API Development Project","Active","Lisa Engineer","Negotiation","$1,366,197.00","Medium","2026-05-11T15:10:32Z","2025-08-16T15:10:32Z","Proposal Review",,,"2026-06-12T15:10:32Z","Tech Solutions Inc","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=39"">View Entries</a>"
"Machine Learning Implementation","Active","Sarah Director","Project Execution","$1,474,927.00","Medium","2025-12-08T16:10:34Z","2025-09-30T15:10:34Z","Implementation Planning",,,"2026-01-25T16:10:34Z","Tech Solutions Inc","<a href=""https://cleansheet5.sharepoint.com/sites/SalesFunnel/_layouts/15/listform.aspx?PageType=4&ListId=%7B789472E2%2D87EE%2D4B7A%2D8BCD%2D5FB33A84AF2B%7D&ID=40"">View Entries</a>"
