ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Name=\"Title\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" Group=\"_Hidden\" Type=\"Text\" DisplayName=\"Title\" Required=\"FALSE\" FromBaseType=\"TRUE\" DelayActivateTemplateBinding=\"GROUP,SPSPERS,SITEPAGEPUBLISHING\" Sealed=\"FALSE\" />","<Field Type=\"Text\" Name=\"MilestoneName\" DisplayName=\"Name\" ID=\"{18563658-29fc-44d8-9199-f4a0dacf9b23}\" Group=\"\" Required=\"FALSE\" StaticName=\"MilestoneName\" />","<Field Type=\"Text\" Name=\"Owner\" DisplayName=\"Owner\" ID=\"{646ed2d3-1914-4955-8af3-5ea7e749ffd9}\" Group=\"\" Required=\"FALSE\" StaticName=\"Owner\" />","<Field Type=\"DateTime\" Name=\"MilestoneDate\" DisplayName=\"Date\" ID=\"{f6b9c26b-d39e-46cf-9674-9837afddc3cd}\" Group=\"\" Required=\"FALSE\" StaticName=\"MilestoneDate\" />","<Field Type=\"Choice\" Name=\"MilestoneStatus\" DisplayName=\"Status\" ID=\"{928a0ab1-f93f-465b-bb4e-d9ce52bffd28}\" Group=\"\" Required=\"FALSE\" StaticName=\"MilestoneStatus\"><CHOICES><CHOICE>Not Started</CHOICE><CHOICE>In Progress</CHOICE><CHOICE>Completed</CHOICE><CHOICE>On Hold</CHOICE><CHOICE>Cancelled</CHOICE></CHOICES></Field>","<Field ID=\"{c042a256-787d-4a6f-8a8a-cf6ab767f12d}\" Type=\"Computed\" DisplayName=\"Content Type\" Name=\"ContentType\" DisplaceOnUpgrade=\"TRUE\" RenderXMLUsingPattern=\"TRUE\" Sortable=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"ContentType\" Group=\"_Hidden\" PITarget=\"MicrosoftWindowsSharePointServices\" PIAttribute=\"ContentTypeID\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"ContentTypeId\" /></FieldRefs><DisplayPattern><MapToContentType><Column Name=\"ContentTypeId\" /></MapToContentType></DisplayPattern></Field>"]}
"Opportunity","Name","Owner","Date","Status"
"Supply Chain Optimization","Pricing Negotiation","Maria Coordinator","2026-09-08T19:50:01Z","Not Started"
"Supply Chain Optimization","Final Terms Agreement","Sarah Director","2026-09-01T19:50:01Z","Not Started"
"Financial Planning Software","Initial Contact","Amanda Sales","2026-05-11T19:50:03Z","Completed"
"Financial Planning Software","Needs Assessment","Project Lead","2026-05-04T19:50:03Z","In Progress"
"Financial Planning Software","Stakeholder Identification","Maria Coordinator","2026-04-27T19:50:03Z","Not Started"
"Financial Planning Software","Budget Confirmation","Maria Coordinator","2026-04-20T19:50:03Z","Not Started"
"HR Management System","Contract Terms Review","John Manager","2025-10-13T19:50:04Z","In Progress"
"HR Management System","Legal Review","Lisa Engineer","2025-10-06T19:50:04Z","In Progress"
"HR Management System","Pricing Negotiation","Quality Assurance","2025-09-29T19:50:04Z","Not Started"
"HR Management System","Final Terms Agreement","Implementation Specialist","2025-09-22T19:50:04Z","Not Started"
"Marketing Automation Platform","Requirements Gathering","Quality Assurance","2025-12-25T20:50:06Z","Completed"
"Marketing Automation Platform","Technical Specification","Mike Consultant","2025-12-18T20:50:06Z","In Progress"
"Marketing Automation Platform","Proposal Development","Implementation Specialist","2025-12-11T20:50:06Z","In Progress"
"Marketing Automation Platform","Pricing Analysis","Dr. Tech Advisor","2025-12-04T20:50:06Z","Not Started"
"Marketing Automation Platform","Proposal Review","Sarah Director","2025-11-27T20:50:06Z","Not Started"
"CRM System Upgrade","Final Delivery","Sarah Director","2025-12-22T20:50:09Z","Completed"
"CRM System Upgrade","Customer Acceptance","Sarah Director","2025-12-15T20:50:09Z","In Progress"
"CRM System Upgrade","Documentation Handover","Lisa Engineer","2025-12-08T20:50:09Z","Not Started"
"CRM System Upgrade","Post-Implementation Review","Amanda Sales","2025-11-22T20:50:09Z","Not Started"
"Inventory Management Solution","Requirements Gathering","Implementation Specialist","2026-05-25T19:50:11Z","Completed"
"Inventory Management Solution","Technical Specification","Robert Analyst","2026-05-18T19:50:11Z","In Progress"
"Inventory Management Solution","Proposal Development","Dr. Tech Advisor","2026-05-11T19:50:11Z","In Progress"
"Inventory Management Solution","Pricing Analysis","Dr. Tech Advisor","2026-05-04T19:50:11Z","Not Started"
"Inventory Management Solution","Proposal Review","Dr. Tech Advisor","2026-04-27T19:50:11Z","Not Started"
"Point of Sale System","Contract Terms Review","Jennifer PM","2025-09-09T19:50:12Z","In Progress"
"Point of Sale System","Legal Review","Quality Assurance","2025-09-02T19:50:12Z","In Progress"
"Point of Sale System","Pricing Negotiation","Dr. Tech Advisor","2025-08-26T19:50:12Z","Not Started"
"Point of Sale System","Final Terms Agreement","Amanda Sales","2025-08-19T19:50:12Z","Not Started"
"Compliance Management Tool","Relationship Building","Mike Consultant","2026-01-09T20:50:14Z","In Progress"
"Compliance Management Tool","Pain Point Analysis","David Specialist","2025-12-30T20:50:14Z","In Progress"
"Compliance Management Tool","Solution Mapping","Lisa Engineer","2025-12-20T20:50:14Z","Not Started"
"Compliance Management Tool","Competitive Analysis","John Manager","2025-12-10T20:50:14Z","Not Started"
"Compliance Management Tool","ROI Calculation","Lisa Engineer","2025-11-30T20:50:14Z","Not Started"
"Project Management Software","Final Delivery","Business Analyst","2026-12-24T20:50:16Z","Completed"
"Project Management Software","Customer Acceptance","Sarah Director","2026-12-17T20:50:16Z","In Progress"
"Project Management Software","Documentation Handover","Maria Coordinator","2026-12-10T20:50:16Z","Not Started"
"Project Management Software","Post-Implementation Review","John Manager","2026-11-24T20:50:16Z","Not Started"
"Video Conferencing Solution","Initial Contact","Robert Analyst","2025-08-26T19:50:18Z","Completed"
"Video Conferencing Solution","Needs Assessment","Project Lead","2025-08-19T19:50:18Z","In Progress"
"Video Conferencing Solution","Stakeholder Identification","Sarah Director","2025-08-12T19:50:18Z","Not Started"
"Video Conferencing Solution","Budget Confirmation","Project Lead","2025-09-07T19:54:23Z","Not Started"
"Backup & Recovery System","Initial Contact","Maria Coordinator","2026-06-12T19:50:19Z","Completed"
"Backup & Recovery System","Needs Assessment","Robert Analyst","2026-06-05T19:50:19Z","In Progress"
"Backup & Recovery System","Stakeholder Identification","Project Lead","2026-05-29T19:50:19Z","Not Started"
"Backup & Recovery System","Budget Confirmation","Implementation Specialist","2026-05-22T19:50:19Z","Not Started"
"Website Redesign Project","Initial Contact","Maria Coordinator","2026-10-30T19:50:21Z","Completed"
"Website Redesign Project","Needs Assessment","Quality Assurance","2026-10-23T19:50:21Z","In Progress"
"Website Redesign Project","Stakeholder Identification","Amanda Sales","2026-10-16T19:50:21Z","Not Started"
"Website Redesign Project","Budget Confirmation","Robert Analyst","2026-10-09T19:50:21Z","Not Started"
"Social Media Management Tool","Final Delivery","Quality Assurance","2026-03-26T19:50:23Z","Completed"
"Social Media Management Tool","Customer Acceptance","Project Lead","2026-03-19T19:50:23Z","In Progress"
"Social Media Management Tool","Documentation Handover","Mike Consultant","2026-03-12T19:50:23Z","Not Started"
"Social Media Management Tool","Post-Implementation Review","John Manager","2026-02-24T19:50:23Z","Not Started"
"Customer Service Platform","Relationship Building","Quality Assurance","2026-07-30T19:50:25Z","In Progress"
"Customer Service Platform","Pain Point Analysis","Robert Analyst","2026-07-20T19:50:25Z","In Progress"
"Customer Service Platform","Solution Mapping","John Manager","2026-07-10T19:50:25Z","Not Started"
"Customer Service Platform","Competitive Analysis","Sarah Director","2026-06-30T19:50:25Z","Not Started"
"Customer Service Platform","ROI Calculation","Lisa Engineer","2026-06-20T19:50:25Z","Not Started"
"Fleet Management System","Contract Terms Review","David Specialist","2026-03-18T19:50:27Z","In Progress"
"Fleet Management System","Legal Review","Business Analyst","2026-03-11T19:50:27Z","In Progress"
"Fleet Management System","Pricing Negotiation","David Specialist","2026-03-04T19:50:27Z","Not Started"
"Fleet Management System","Final Terms Agreement","David Specialist","2026-02-25T19:50:27Z","Not Started"
"Environmental Monitoring Solution","Relationship Building","Mike Consultant","2025-09-04T19:50:29Z","In Progress"
"Environmental Monitoring Solution","Pain Point Analysis","Maria Coordinator","2025-08-25T19:50:29Z","In Progress"
"Environmental Monitoring Solution","Solution Mapping","Mike Consultant","2025-08-15T19:50:29Z","Not Started"
"Environmental Monitoring Solution","Competitive Analysis","Maria Coordinator","2025-08-25T19:55:09Z","Not Started"
"Environmental Monitoring Solution","ROI Calculation","Quality Assurance","2025-09-05T19:55:11Z","Not Started"
"Safety Management System","Requirements Gathering","David Specialist","2025-10-24T19:50:31Z","Completed"
"Safety Management System","Technical Specification","Lisa Engineer","2025-10-17T19:50:31Z","In Progress"
"Safety Management System","Proposal Development","David Specialist","2025-10-10T19:50:31Z","In Progress"
"Safety Management System","Pricing Analysis","David Specialist","2025-10-03T19:50:31Z","Not Started"
"Safety Management System","Proposal Review","Mike Consultant","2025-09-26T19:50:31Z","Not Started"
"Performance Analytics Dashboard","Relationship Building","Quality Assurance","2026-06-19T19:50:33Z","In Progress"
"Performance Analytics Dashboard","Pain Point Analysis","Implementation Specialist","2026-06-09T19:50:33Z","In Progress"
"Performance Analytics Dashboard","Solution Mapping","Sarah Director","2026-05-30T19:50:33Z","Not Started"
"Performance Analytics Dashboard","Competitive Analysis","Quality Assurance","2026-05-20T19:50:33Z","Not Started"
"Performance Analytics Dashboard","ROI Calculation","Sarah Director","2026-05-10T19:50:33Z","Not Started"
"Workflow Automation Tool","Relationship Building","Dr. Tech Advisor","2027-01-05T20:50:35Z","In Progress"
"Workflow Automation Tool","Pain Point Analysis","Implementation Specialist","2026-12-26T20:50:35Z","In Progress"
"Workflow Automation Tool","Solution Mapping","Technical Lead","2026-12-16T20:50:35Z","Not Started"
"Workflow Automation Tool","Competitive Analysis","Amanda Sales","2026-12-06T20:50:35Z","Not Started"
"Workflow Automation Tool","ROI Calculation","Mike Consultant","2026-11-26T20:50:35Z","Not Started"
"Integration Services Project","Project Kickoff","Sarah Director","2026-12-11T20:50:37Z","Completed"
"Integration Services Project","Phase 1 Delivery","Lisa Engineer","2026-11-11T20:50:37Z","In Progress"
"Integration Services Project","Phase 2 Delivery","Amanda Sales","2026-10-12T20:50:37Z","Not Started"
"Integration Services Project","Testing & QA","Mike Consultant","2026-09-12T20:50:37Z","Not Started"
"Integration Services Project","User Training","John Manager","2026-09-02T20:50:37Z","Not Started"
"Database Migration Project","Final Delivery","Technical Lead","2025-10-13T19:50:39Z","Completed"
"Database Migration Project","Customer Acceptance","Business Analyst","2025-10-06T19:50:39Z","In Progress"
"Database Migration Project","Documentation Handover","David Specialist","2025-09-29T19:50:39Z","Not Started"
"Database Migration Project","Post-Implementation Review","Maria Coordinator","2025-09-13T19:50:39Z","Not Started"
"Legacy System Modernization","Requirements Gathering","Business Analyst","2026-11-13T20:50:40Z","Completed"
"Legacy System Modernization","Technical Specification","Technical Lead","2026-11-06T20:50:40Z","In Progress"
"Legacy System Modernization","Proposal Development","David Specialist","2026-10-30T20:50:40Z","In Progress"
"Legacy System Modernization","Pricing Analysis","Quality Assurance","2026-10-23T20:50:40Z","Not Started"
"Legacy System Modernization","Proposal Review","Mike Consultant","2026-10-16T20:50:40Z","Not Started"
"API Development Project","Project Kickoff","Quality Assurance","2026-08-19T19:50:42Z","Completed"
"API Development Project","Phase 1 Delivery","Mike Consultant","2026-07-20T19:50:42Z","In Progress"
"API Development Project","Phase 2 Delivery","Mike Consultant","2026-06-20T19:50:42Z","Not Started"
"API Development Project","Testing & QA","Business Analyst","2026-05-21T19:50:42Z","Not Started"
"API Development Project","User Training","Lisa Engineer","2026-05-11T19:50:42Z","Not Started"
"Machine Learning Implementation","Requirements Gathering","Mike Consultant","2026-11-12T20:50:44Z","Completed"
"Machine Learning Implementation","Technical Specification","Quality Assurance","2026-11-05T20:50:44Z","In Progress"
"Machine Learning Implementation","Proposal Development","Business Analyst","2026-10-29T20:50:44Z","In Progress"
"Machine Learning Implementation","Pricing Analysis","Technical Lead","2026-10-22T20:50:44Z","Not Started"
"Machine Learning Implementation","Proposal Review","Maria Coordinator","2026-10-15T20:50:44Z","Not Started"
